open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,bearish_fractal,bullish_fractal
2024-10-21 16:00:00,67341.02,67344.0,66894.0,67327.0,1382.94149,2024-10-21 16:59:59.999,92826175.92086380,206228,667.47651000,44806942.28731570,0,False,False
2024-10-21 17:00:00,67326.99,67669.62,67260.0,67526.01,1640.03756,2024-10-21 17:59:59.999,110754101.25809450,185288,858.00580000,57937101.13962860,0,False,False
2024-10-21 18:00:00,67526.0,67526.01,67035.04,67335.05,1277.99748,2024-10-21 18:59:59.999,85990284.98795690,161211,601.99046000,40504866.95614250,0,False,False
2024-10-21 19:00:00,67335.05,67941.17,67335.01,67763.0,1240.18922,2024-10-21 19:59:59.999,83905210.40031700,181036,658.93159000,44578206.32844460,0,True,False
2024-10-21 20:00:00,67763.99,67818.19,67624.18,67749.99,494.38709,2024-10-21 20:59:59.999,33472706.85268780,93359,207.26843000,14033516.43738340,0,False,False
2024-10-21 21:00:00,67750.0,67933.79,67688.14,67803.21,389.90719,2024-10-21 21:59:59.999,26439411.48426860,64593,168.26682000,11409350.07569250,0,False,False
2024-10-21 22:00:00,67803.21,67878.78,67602.84,67781.07,544.89463,2024-10-21 22:59:59.999,36919473.10869830,90728,199.86065000,13540609.57861050,0,False,False
2024-10-21 23:00:00,67781.07,67781.08,67366.66,67377.5,662.80013,2024-10-21 23:59:59.999,44753167.97829710,86730,198.48321000,13401607.07268820,0,False,False
2024-10-22 00:00:00,67377.5,67406.5,66571.42,67149.73,2276.06378,2024-10-22 00:59:59.999,152417515.72825110,293095,994.91436000,66620900.86750430,0,False,True
2024-10-22 01:00:00,67149.73,67538.0,67050.0,67508.29,826.66904,2024-10-22 01:59:59.999,55689722.27568620,175833,423.06911000,28498922.20028850,0,False,False
2024-10-22 02:00:00,67508.29,67694.92,67269.32,67317.23,876.23526,2024-10-22 02:59:59.999,59183544.60647960,113554,428.57733000,28953330.53629420,0,True,False
2024-10-22 03:00:00,67317.23,67553.34,67300.55,67390.02,551.26328,2024-10-22 03:59:59.999,37151669.39003130,73881,242.65330000,16353008.94852650,0,False,False
2024-10-22 04:00:00,67390.01,67493.35,67278.02,67493.34,386.13539,2024-10-22 04:59:59.999,26020681.06001560,50419,186.77119000,12585346.65786740,0,False,False
2024-10-22 05:00:00,67493.35,67642.23,67452.05,67579.99,605.65686,2024-10-22 05:59:59.999,40927654.28252800,63073,286.46446000,19358023.63328460,0,False,False
